qseqid	sseqid	Gene_catalogue	Enzyme
k117_140014_54	1283299.AUKG01000003_gene551	k117_140014_54_EEBR-OA	guaB
k117_140014_8	284046682	k117_140014_8_EEBR-OA	pstB
k117_14099_3	boh:AKI39_20835	k117_14099_3_EEBR-OA	gdh
k117_145005_3	570268.ANBB01000046_gene1422	k117_145005_3_EEBR-OA	guaB
k117_148983_3	xii:AMD24_00517	k117_148983_3_EEBR-OA	guaA
k117_152728_1	1120936.KB907209_gene1444	k117_152728_1_EEBR-OA	ppx
k117_154408_1	A0A2W6E6T4	k117_154408_1_EEBR-OA	pyrF
k117_154561_1	1463921.JODF01000026_gene4447	k117_154561_1_EEBR-OA	tmk
k117_155424_1	1038862.KB893900_gene1712	k117_155424_1_EEBR-OA	rpiA
k117_156125_1	A0A537TA14	k117_156125_1_EEBR-OA	purH
k117_157132_4	1333507.AUTQ01000186_gene3200	k117_157132_4_EEBR-OA	pstB
k117_159032_1	240016.ABIZ01000001_gene4717	k117_159032_1_EEBR-OA	phnC
k117_159098_2	bic:LMTR13_36180	k117_159098_2_EEBR-OA	phnC
k117_164879_3	geh:HYN69_18490	k117_164879_3_EEBR-OA	gnl
k117_165270_1	1038860.AXAP01000027_gene1911	k117_165270_1_EEBR-OA	phnN
k117_168371_1	1206720.BAFQ01000014_gene438	k117_168371_1_EEBR-OA	phnL
k117_169180_1	A0A2T0PVG6	k117_169180_1_EEBR-OA	pyrH
k117_170752_5	A0A537Q1P1	k117_170752_5_EEBR-OA	pstC
k117_172835_1	208439.AJAP_34360	k117_172835_1_EEBR-OA	purF
k117_172949_4	935557.ATYB01000008_gene5671	k117_172949_4_EEBR-OA	phnC
k117_172978_3	28444.JODQ01000014_gene6859	k117_172978_3_EEBR-OA	phoR
k117_174340_2	28444.JODQ01000001_gene2422	k117_174340_2_EEBR-OA	ugpC
k117_175407_3	561175.KB894093_gene3158	k117_175407_3_EEBR-OA	RegX3
k117_175613_5	105425.BBPL01000061_gene5152	k117_175613_5_EEBR-OA	tmk
k117_175720_1	715226.ABI_45140	k117_175720_1_EEBR-OA	ppc
k117_177944_4	936455.KI421499_gene7272	k117_177944_4_EEBR-OA	pyrF
k117_17878_1	1090318.ATTI01000001_gene697	k117_17878_1_EEBR-OA	glpT
k117_179078_16	1380347.JNII01000006_gene1624	k117_179078_16_EEBR-OA	phnC
k117_180058_4	284044558	k117_180058_4_EEBR-OA	ppdK
k117_180938_2	34506.g5631	k117_180938_2_EEBR-OA	phoC
k117_18375_3	665571.STHERM_c02790	k117_18375_3_EEBR-OA	phnK
k117_184904_1	1267534.KB906758_gene2188	k117_184904_1_EEBR-OA	purH
k117_188143_1	1463861.JNXE01000138_gene1733	k117_188143_1_EEBR-OA	purN
k117_188468_3	1068978.AMETH_0464	k117_188468_3_EEBR-OA	purH
k117_18869_2	1380347.JNII01000006_gene1624	k117_18869_2_EEBR-OA	phnC
k117_190034_2	sld:T261_1417	k117_190034_2_EEBR-OA	phnC
k117_190830_1	paeu:BN889_07012	k117_190830_1_EEBR-OA	phny
k117_191472_1	cmb:CSW64_07225	k117_191472_1_EEBR-OA	purF
k117_196794_1	A0A2D6UGD1	k117_196794_1_EEBR-OA	thyA
k117_197323_1	A0A2V5RPE1	k117_197323_1_EEBR-OA	adk
k117_200545_2	mavi:RC58_12090	k117_200545_2_EEBR-OA	cmk
k117_201735_7	A0A537U662	k117_201735_7_EEBR-OA	purC
k117_202999_2	xii:AMD24_00517	k117_202999_2_EEBR-OA	guaA
k117_203578_2	240016.ABIZ01000001_gene539	k117_203578_2_EEBR-OA	ugpC
k117_204502_4	vbo:CKY39_28725	k117_204502_4_EEBR-OA	phnL
k117_20732_7	A0A537R8C1	k117_20732_7_EEBR-OA	purD
k117_208516_1	1187851.A33M_3278	k117_208516_1_EEBR-OA	purN
k117_213424_3	1380390.JIAT01000011_gene2578	k117_213424_3_EEBR-OA	ugpC
k117_213708_1	A0A537SU24	k117_213708_1_EEBR-OA	pstC
k117_216669_1	A0A1N6SVP7	k117_216669_1_EEBR-OA	purH
k117_216952_1	284029890	k117_216952_1_EEBR-OA	gdh
k117_216969_4	ars:ADJ73_03040	k117_216969_4_EEBR-OA	phoP
k117_21698_3	266835.14025948	k117_21698_3_EEBR-OA	purE
k117_218479_3	953739.SVEN_5096	k117_218479_3_EEBR-OA	ppk
k117_220670_1	A0A2V9XTW3	k117_220670_1_EEBR-OA	ppk
k117_223480_1	mcg:GL4_2088	k117_223480_1_EEBR-OA	phnC
k117_224504_1	1463887.KL590036_gene3631	k117_224504_1_EEBR-OA	phoB
k117_224852_2	497964.CfE428DRAFT_1129	k117_224852_2_EEBR-OA	ptsI
k117_225684_1	1038858.AXBA01000005_gene4523	k117_225684_1_EEBR-OA	deoB
k117_227615_8	67257.JODR01000010_gene3196	k117_227615_8_EEBR-OA	pyrF
k117_227962_3	1048339.KB913029_gene3531	k117_227962_3_EEBR-OA	purK
k117_227963_2	bic:LMTR13_02365	k117_227963_2_EEBR-OA	phoR
k117_230881_1	208444.JNYY01000009_gene3334	k117_230881_1_EEBR-OA	tmk
k117_231616_1	1380394.JADL01000001_gene2435	k117_231616_1_EEBR-OA	phoH
k117_231616_2	1207063.P24_04200	k117_231616_2_EEBR-OA	phoH
k117_232253_1	196490.AUEZ01000001_gene7285	k117_232253_1_EEBR-OA	pstS
k117_23367_2	1144343.PMI41_02458	k117_23367_2_EEBR-OA	gdh
k117_235554_5	1121124.JNIX01000010_gene730	k117_235554_5_EEBR-OA	pyrE
k117_236181_1	68199.JNZO01000011_gene5277	k117_236181_1_EEBR-OA	dut
k117_237870_3	876269.ARWA01000001_gene2761	k117_237870_3_EEBR-OA	gdh
k117_239318_1	A0A2V9ZWZ0	k117_239318_1_EEBR-OA	gnd
k117_240682_3	strc:AA958_22265	k117_240682_3_EEBR-OA	phnC
k117_24549_1	754035.Mesau_05210	k117_24549_1_EEBR-OA	phnK
k117_245523_4	159037255	k117_245523_4_EEBR-OA	phny
k117_248290_3	1122939.ATUD01000001_gene503	k117_248290_3_EEBR-OA	phnC
k117_250194_4	1101191.KI912577_gene1252	k117_250194_4_EEBR-OA	gdh
k117_251054_1	1304878.AUGD01000007_gene5563	k117_251054_1_EEBR-OA	gdh
k117_253587_2	58123.JOFJ01000009_gene991	k117_253587_2_EEBR-OA	purN
k117_259943_3	xii:AMD24_00640	k117_259943_3_EEBR-OA	ppx
k117_260240_2	105420.BBPO01000071_gene4044	k117_260240_2_EEBR-OA	ppk
k117_263191_4	A0A2D8XID7	k117_263191_4_EEBR-OA	pyk
k117_26406_1	A0A2V5PXJ6	k117_26406_1_EEBR-OA	guaA
k117_264184_3	1380354.JIAN01000005_gene2065	k117_264184_3_EEBR-OA	phnT
k117_267477_1	1120792.JAFV01000001_gene1812	k117_267477_1_EEBR-OA	gdh
k117_271944_3	stri:C7M71_022980	k117_271944_3_EEBR-OA	phoP
k117_272215_5	497964.CfE428DRAFT_4260	k117_272215_5_EEBR-OA	pyrG
k117_272632_1	1125863.JAFN01000001_gene3316	k117_272632_1_EEBR-OA	adk
k117_274188_4	A0A2V5VC65	k117_274188_4_EEBR-OA	adk
k117_275502_5	1120956.JHZK01000027_gene1172	k117_275502_5_EEBR-OA	pstB
k117_276774_1	A0A537VM40	k117_276774_1_EEBR-OA	pyk
k117_278277_3	217976885	k117_278277_3_EEBR-OA	phnC
k117_278715_2	1121948.AUAC01000003_gene2920	k117_278715_2_EEBR-OA	purK
k117_281758_2	66373.JOFQ01000043_gene974	k117_281758_2_EEBR-OA	purB
k117_282186_1	284031712	k117_282186_1_EEBR-OA	phnK
k117_283650_1	1283283.ATXA01000006_gene1726	k117_283650_1_EEBR-OA	phoU
k117_283755_4	269128318	k117_283755_4_EEBR-OA	RegX3
k117_287705_1	765914.ThisiDRAFT_0694	k117_287705_1_EEBR-OA	guaB
k117_294038_1	A0A2V9ZE21	k117_294038_1_EEBR-OA	pstC
k117_294038_2	A0A2V9YX62	k117_294038_2_EEBR-OA	pstA
k117_294242_1	A0A537QN84	k117_294242_1_EEBR-OA	purB
k117_295521_1	240016.ABIZ01000001_gene539	k117_295521_1_EEBR-OA	ugpC
k117_295521_2	vbh:CMV30_15225	k117_295521_2_EEBR-OA	ugpC
k117_297712_5	A0A537RJD0	k117_297712_5_EEBR-OA	ndk
k117_29814_1	1304865.JAGF01000001_gene3724	k117_29814_1_EEBR-OA	ppc
k117_298247_1	1283283.ATXA01000012_gene4843	k117_298247_1_EEBR-OA	purN
k117_299240_2	1038859.AXAU01000013_gene6598	k117_299240_2_EEBR-OA	pyk
k117_301107_3	28444.JODQ01000002_gene4547	k117_301107_3_EEBR-OA	phoP
k117_301164_1	1380394.JADL01000001_gene2625	k117_301164_1_EEBR-OA	prsA
k117_302030_1	467200.ACFA01000392_gene5462	k117_302030_1_EEBR-OA	phoB
k117_303595_4	1123319.AUBE01000006_gene3045	k117_303595_4_EEBR-OA	phnC
k117_304910_2	xii:AMD24_00805	k117_304910_2_EEBR-OA	prsA
k117_307955_1	A0A538J5C2	k117_307955_1_EEBR-OA	pyk
k117_308284_5	rhz:RHPLAN_51370	k117_308284_5_EEBR-OA	phnC
k117_308740_4	1297570.MESS4_330207	k117_308740_4_EEBR-OA	deoB
k117_309042_6	1380394.JADL01000002_gene1392	k117_309042_6_EEBR-OA	dcd
k117_309447_2	maqu:Maq22A_c16555	k117_309447_2_EEBR-OA	gnl
k117_314474_1	xii:AMD24_00620	k117_314474_1_EEBR-OA	pstC
k117_3181_2	929712.KI912613_gene2903	k117_3181_2_EEBR-OA	phnC
k117_31974_1	1089551.KE386572_gene3707	k117_31974_1_EEBR-OA	phnC
k117_319867_3	561175.KB894103_gene1318	k117_319867_3_EEBR-OA	dcd
k117_319867_4	slau:SLA_4978	k117_319867_4_EEBR-OA	dcd
k117_321179_1	1283299.AUKG01000004_gene934	k117_321179_1_EEBR-OA	gmk
k117_321919_4	1003195.SCAT_4090	k117_321919_4_EEBR-OA	phnF
k117_322026_1	105422.BBPM01000096_gene5183	k117_322026_1_EEBR-OA	phnK
k117_32932_3	1123060.JONP01000056_gene3613	k117_32932_3_EEBR-OA	gdh
k117_33183_1	1380390.JIAT01000009_gene1996	k117_33183_1_EEBR-OA	phoB
k117_332039_1	34506.g5631	k117_332039_1_EEBR-OA	phoC
k117_334609_1	hjo:AY555_05530	k117_334609_1_EEBR-OA	pyrG
k117_336817_5	1040989.AWZU01000063_gene6215	k117_336817_5_EEBR-OA	SenX3
k117_33963_2	plab:C6361_09130	k117_33963_2_EEBR-OA	tmk
k117_341446_4	A0A317HZP2	k117_341446_4_EEBR-OA	phnC
k117_342983_2	497964.CfE428DRAFT_6312	k117_342983_2_EEBR-OA	adk
k117_346092_1	67257.JODR01000015_gene5842	k117_346092_1_EEBR-OA	phny
k117_346713_1	1038866.KB902768_gene4761	k117_346713_1_EEBR-OA	pyrE
k117_34958_1	A0A537PWG6	k117_34958_1_EEBR-OA	pstB
k117_355857_1	182413456	k117_355857_1_EEBR-OA	phnC
k117_356348_1	108803275	k117_356348_1_EEBR-OA	purM
k117_359946_4	335659.S23_60990	k117_359785_2_EEBR-OA	ugpC
k117_360451_1	psin:CAK95_10655	k117_360451_1_EEBR-OA	aepV
k117_36108_1	1352941.M877_17665	k117_36108_1_EEBR-OA	gdh
k117_365168_2	1278078.G419_12746	k117_365168_2_EEBR-OA	gdh
k117_368029_4	1396141.BATP01000026_gene1005	k117_368029_4_EEBR-OA	guaA
k117_369644_2	A0A2V6M8E6	k117_369644_2_EEBR-OA	tmk
k117_370850_3	noy:EXE57_03965	k117_370850_3_EEBR-OA	phoP
k117_371324_1	A0A1V5FMN7	k117_371324_1_EEBR-OA	ppdK
k117_372920_1	222534.KB893741_gene2904	k117_372920_1_EEBR-OA	nrdD
k117_373501_2	1101192.KB910516_gene1017	k117_373501_2_EEBR-OA	gdh
k117_37359_7	A0A537RH23	k117_37359_7_EEBR-OA	ppa
k117_375362_1	105425.BBPL01000015_gene2560	k117_375362_1_EEBR-OA	phnC
k117_376211_1	1160718.SU9_29711	k117_376211_1_EEBR-OA	purN
k117_377397_1	1415166.NONO_c02100	k117_377397_1_EEBR-OA	phnC
k117_378671_2	metd:C0214_23580	k117_378671_2_EEBR-OA	pyrE
k117_380281_3	389867171	k117_380281_3_EEBR-OA	adk
k117_380624_3	1396141.BATP01000001_gene5393	k117_380624_3_EEBR-OA	pckA
k117_381198_2	1267533.KB906737_gene1929	k117_381198_2_EEBR-OA	gdh
k117_383504_1	1379701.JPJC01000091_gene1243	k117_383504_1_EEBR-OA	glpT
k117_38365_4	1122609.AUGT01000003_gene2427	k117_38365_4_EEBR-OA	gdh
k117_385395_2	A0A7D3VU26	k117_385395_2_EEBR-OA	ppa
k117_389047_5	1122939.ATUD01000005_gene2712	k117_389047_5_EEBR-OA	gmk
k117_390868_1	xii:AMD24_00620	k117_390868_1_EEBR-OA	pstC
k117_393078_2	525368.HMPREF0591_2554	k117_393078_2_EEBR-OA	adk
k117_396538_3	1370120.AUWR01000012_gene1201	k117_396538_3_EEBR-OA	purL
k117_396862_3	1549858.MC45_01730	k117_396862_3_EEBR-OA	purT
k117_398904_5	1122963.AUHB01000009_gene1929	k117_398904_5_EEBR-OA	pyrF
k117_399382_2	A0A6G8IFZ8	k117_399382_2_EEBR-OA	phoB
k117_400779_2	1267533.KB906737_gene1508	k117_400779_2_EEBR-OA	gnd
k117_402538_2	mshg:MSG_01692	k117_402538_2_EEBR-OA	pyrH
k117_402980_1	A0A537NBS6	k117_402980_1_EEBR-OA	purL
k117_404531_3	9315.ENSMEUP00000002629	k117_404531_3_EEBR-OA	purA
k117_405791_2	328953665	k117_405791_2_EEBR-OA	pckA
k117_405791_3	328953665	k117_405791_3_EEBR-OA	pckA
k117_408700_2	269925997	k117_408700_2_EEBR-OA	nrdD
k117_409360_3	117928656	k117_409360_3_EEBR-OA	phoP
k117_410431_1	1306174.JODP01000013_gene7840	k117_410431_1_EEBR-OA	purS
k117_412202_1	561175.KB894104_gene1149	k117_412202_1_EEBR-OA	ppx
k117_412550_2	A0A3D5DVQ3	k117_412550_2_EEBR-OA	gmk
k117_413314_3	298655.KI912266_gene1392	k117_413314_3_EEBR-OA	purB
k117_41377_3	A0A358SPB4	k117_41377_3_EEBR-OA	ppk
k117_413992_1	744980.TRICHSKD4_4032	k117_413992_1_EEBR-OA	guaA
k117_415371_14	1121106.JQKB01000012_gene4563	k117_415371_14_EEBR-OA	pstC
k117_416407_3	1038859.AXAU01000020_gene5493	k117_416407_3_EEBR-OA	phnT
k117_416545_1	A0A538IGI3	k117_416545_1_EEBR-OA	guaB
k117_418321_3	A0A2W6CK87	k117_418321_3_EEBR-OA	guaA
k117_423704_3	498848.TaqDRAFT_5325	k117_423704_3_EEBR-OA	pstB
k117_424911_1	284990450	k117_424911_1_EEBR-OA	dut
k117_425694_2	1283299.AUKG01000001_gene1300	k117_425694_2_EEBR-OA	phnL
k117_426333_1	psin:CAK95_10655	k117_426333_1_EEBR-OA	aepV
k117_426672_3	meso:BSQ44_00305	k117_426672_3_EEBR-OA	purN
k117_427973_1	585531.HMPREF0063_12364	k117_427973_1_EEBR-OA	deoB
k117_432587_2	ntp:CRH09_22975	k117_432587_2_EEBR-OA	ugpC
k117_433818_2	vbh:CMV30_15225	k117_433818_2_EEBR-OA	ugpC
k117_433857_1	1463887.KL589987_gene6842	k117_433857_1_EEBR-OA	phoR
k117_43451_3	284161211	k117_43451_3_EEBR-OA	phnC
k117_43770_3	325295201	k117_43770_3_EEBR-OA	purH
k117_438157_10	hat:RC74_11250	k117_438157_10_EEBR-OA	pyrF
k117_440336_2	1380350.JIAP01000035_gene920	k117_440336_2_EEBR-OA	rpiA
k117_441180_15	ptx:ABW99_13025	k117_441180_15_EEBR-OA	pstB
k117_442755_4	1380394.JADL01000005_gene5404	k117_442755_4_EEBR-OA	purA
k117_443640_4	59538.XP_005973101.1	k117_443640_4_EEBR-OA	pstB
k117_444731_2	1122611.KB903978_gene3358	k117_444731_2_EEBR-OA	pyk
k117_445427_1	rhz:RHPLAN_09510	k117_445427_1_EEBR-OA	ugpC
k117_446576_3	298293451	k117_446576_3_EEBR-OA	tmk
k117_446643_2	59538.XP_005980493.1	k117_446643_2_EEBR-OA	tmk
k117_446734_4	A0A537V6Q8	k117_446734_4_EEBR-OA	purL
k117_449987_5	1172179.AUKV01000003_gene7299	k117_449987_5_EEBR-OA	pyrF
k117_450220_1	1463936.JOJI01000042_gene564	k117_450220_1_EEBR-OA	purQ
k117_450812_1	A0A3E0PK68	k117_450812_1_EEBR-OA	purE
k117_454179_2	1149133.ppKF707_5679	k117_454179_2_EEBR-OA	pstC
k117_455157_1	452863.Achl_4585	k117_455157_1_EEBR-OA	gmk
k117_456419_3	1123023.JIAI01000008_gene1429	k117_456419_3_EEBR-OA	adk
k117_458589_3	xii:AMD24_00805	k117_458589_3_EEBR-OA	prsA
k117_46506_2	234621.RER_31750	k117_46506_2_EEBR-OA	purM
k117_467027_1	1120958.AULD01000012_gene1469	k117_467027_1_EEBR-OA	phoR
k117_468343_1	A0A536UM12	k117_468343_1_EEBR-OA	ugpB
k117_468936_1	1336235.JAEG01000012_gene4143	k117_468936_1_EEBR-OA	pps
k117_469459_2	A0A538JVT2	k117_469459_2_EEBR-OA	pstC
k117_47011_1	1057002.KB905370_gene2120	k117_47011_1_EEBR-OA	gdh
k117_472400_5	172088.AUGA01000059_gene4267	k117_472400_5_EEBR-OA	gdh
k117_472401_4	497964.CfE428DRAFT_5687	k117_472401_4_EEBR-OA	nrdB
k117_47245_2	1120950.KB892757_gene6486	k117_47245_2_EEBR-OA	pyrE
k117_472616_1	1197906.CAJQ02000044_gene1776	k117_472616_1_EEBR-OA	phnL
k117_477719_1	94968375	k117_477719_1_EEBR-OA	tmk
k117_47841_9	113395.AXAI01000013_gene6747	k117_478413_2_EEBR-OA	phnC
k117_479491_5	acip:CBP36_10460	k117_479491_5_EEBR-OA	phny
k117_483221_2	A0A2V5V113	k117_483221_1_EEBR-OA	purA
k117_485373_1	A0A538IGY1	k117_485373_1_EEBR-OA	pstA
k117_486076_1	497964.CfE428DRAFT_2523	k117_486076_1_EEBR-OA	nrdJ
k117_486112_1	cmb:CSW64_10910	k117_486112_1_EEBR-OA	purF
k117_486961_4	A0A7C5RS77	k117_486961_4_EEBR-OA	pstB
k117_490955_3	883078.HMPREF9695_02642	k117_490955_1_EEBR-OA	purL
k117_493679_1	A0A2V9XYR4	k117_493679_1_EEBR-OA	dcd
k117_494169_1	A0A537S0W3	k117_494169_1_EEBR-OA	purA
k117_494338_1	A0A538IGI3	k117_494338_1_EEBR-OA	guaB
k117_494394_3	noa:BKM31_44025	k117_494394_3_EEBR-OA	purC
k117_49576_3	67257.JODR01000010_gene3196	k117_49576_3_EEBR-OA	pyrF
k117_497282_2	A0A358SM70	k117_497282_2_EEBR-OA	purN
k117_497362_1	497964.CfE428DRAFT_0657	k117_497362_1_EEBR-OA	dut
k117_497704_18	1380390.JIAT01000014_gene6060	k117_497704_18_EEBR-OA	purB
k117_499437_2	A0A538KZ54	k117_499437_2_EEBR-OA	purC
k117_500060_1	497964.CfE428DRAFT_0657	k117_500060_1_EEBR-OA	dut
k117_500483_1	1304865.JAGF01000001_gene3724	k117_500483_1_EEBR-OA	ppc
k117_500592_3	cmb:CSW64_10910	k117_500592_3_EEBR-OA	purF
k117_501368_1	116625531	k117_501368_1_EEBR-OA	phnC
k117_501723_2	1380394.JADL01000011_gene3916	k117_501723_2_EEBR-OA	phnT
k117_50410_6	497964.CfE428DRAFT_4930	k117_50410_6_EEBR-OA	deoB
k117_5067_2	383761503	k117_5067_2_EEBR-OA	gnl
k117_507286_41	345341.KUTG_01009	k117_507286_41_EEBR-OA	gdh
k117_507421_3	469819757	k117_507421_3_EEBR-OA	purS
k117_508101_1	936455.KI421499_gene688	k117_508101_1_EEBR-OA	gnd
k117_508858_2	A0A537RAI3	k117_508858_2_EEBR-OA	purK
k117_509166_2	284044875	k117_509166_2_EEBR-OA	phnK
k117_510796_2	A0A2V6E8J1	k117_510796_2_EEBR-OA	adk
k117_512932_1	1449353.JQMQ01000005_gene436	k117_512932_1_EEBR-OA	phoB
k117_515106_2	543632.JOJL01000063_gene2287	k117_515106_2_EEBR-OA	phnC
k117_517948_3	591157.SSLG_05581	k117_517948_3_EEBR-OA	ptsH
k117_519577_5	A0A538J381	k117_519577_5_EEBR-OA	purS
k117_522078_4	1122243.KB903777_gene967	k117_522078_4_EEBR-OA	gdh
k117_524048_2	561175.KB894093_gene4321	k117_524048_2_EEBR-OA	purA
k117_524478_1	1380394.JADL01000004_gene6072	k117_524478_1_EEBR-OA	pyrE
k117_526717_2	256390351	k117_526717_2_EEBR-OA	gdh
k117_526917_1	1123508.JH636439_gene1214	k117_526917_1_EEBR-OA	ppdK
k117_527493_4	rhz:RHPLAN_14730	k117_527493_4_EEBR-OA	phoB
k117_527740_1	1394178.AWOO02000016_gene6864	k117_527740_1_EEBR-OA	phnT
k117_528646_3	A0A537QJ50	k117_528646_3_EEBR-OA	phnA
k117_528733_1	ret:RHE_PE00058	k117_528733_1_EEBR-OA	phnG
k117_528994_1	1352941.M877_12270	k117_528994_1_EEBR-OA	pyrF
k117_529663_1	A0A2V9ZWZ0	k117_529663_1_EEBR-OA	gnd
k117_530153_2	1121861.KB899919_gene2791	k117_530153_2_EEBR-OA	pstB
k117_531949_4	A0A6S7ELZ0	k117_531949_4_EEBR-OA	pphA
k117_53234_2	258533.BN977_06195	k117_53234_2_EEBR-OA	purM
k117_533942_1	298655.KI912266_gene5886	k117_533942_1_EEBR-OA	gdh
k117_534503_2	splu:LK06_019500	k117_534503_2_EEBR-OA	purL
k117_535090_1	psin:CAK95_13505	k117_535090_1_EEBR-OA	prsA
k117_539271_1	haz:A9404_08280	k117_539271_1_EEBR-OA	pstB
k117_542232_1	189753.AXAS01000041_gene2542	k117_542232_1_EEBR-OA	phnN
k117_542960_2	497964.CfE428DRAFT_0654	k117_542960_2_EEBR-OA	pyrE
k117_545008_3	95619.PM1_0210960	k117_545008_3_EEBR-OA	gdh
k117_546760_1	497964.CfE428DRAFT_1129	k117_546760_1_EEBR-OA	ptsI
k117_550449_1	A0A1F2XSM7	k117_550449_1_EEBR-OA	ndk
k117_551834_2	A0A537R746	k117_551834_2_EEBR-OA	guaB
k117_5541_1	A0A6N8GB05	k117_5541_1_EEBR-OA	pyrH
k117_555429_3	1463841.JOIR01000003_gene5700	k117_555429_3_EEBR-OA	pyk
k117_557861_1	A0A537QSB7	k117_557861_1_EEBR-OA	pyrG
k117_563114_3	290340.AAur_0021	k117_563114_3_EEBR-OA	purS
k117_564096_1	637390.AFOH01000131_gene1915	k117_564096_1_EEBR-OA	RegX3
k117_565697_3	1298880.AUEV01000015_gene8	k117_565697_3_EEBR-OA	ppc
k117_567083_3	28444.JODQ01000017_gene6572	k117_567083_3_EEBR-OA	spoT
k117_569805_1	47839.CCAU010000014_gene5093	k117_569805_1_EEBR-OA	tmk
k117_569805_2	mmae:MMARE11_40090	k117_569805_2_EEBR-OA	tmk
k117_569996_2	A0A358SR49	k117_569996_2_EEBR-OA	tmk
k117_572707_1	883078.HMPREF9695_04161	k117_572707_1_EEBR-OA	ugpE
k117_573047_3	A0A537QKS6	k117_573047_3_EEBR-OA	ppk
k117_577390_2	189753.AXAS01000006_gene2332	k117_577390_2_EEBR-OA	phnC
k117_579394_3	A0A537QBM5	k117_579394_3_EEBR-OA	ugpA
k117_580262_2	1123501.KB902290_gene1544	k117_580262_2_EEBR-OA	purH
k117_580309_4	1220583.GOACH_12_00400	k117_580309_4_EEBR-OA	gdh
k117_581303_2	1205680.CAKO01000038_gene1661	k117_581303_2_EEBR-OA	pyrE
k117_582843_1	994479.GL877878_gene996	k117_582843_1_EEBR-OA	gdh
k117_58730_2	cez:CBP52_12410	k117_58730_2_EEBR-OA	ugpC
k117_59299_2	1207063.P24_15499	k117_59299_2_EEBR-OA	purM
k117_596_3	1122611.KB903970_gene2569	k117_596_3_EEBR-OA	NA
k117_61046_2	58123.JOFJ01000017_gene4135	k117_61046_2_EEBR-OA	phoR
k117_61104_1	1122919.KB905627_gene80	k117_61104_1_EEBR-OA	pps
k117_64198_1	497964.CfE428DRAFT_2020	k117_64198_1_EEBR-OA	nrdA
k117_67354_1	1089546.AQUI01000002_gene3656	k117_67354_1_EEBR-OA	phoB
k117_67547_5	1380390.JIAT01000016_gene5627	k117_67547_5_EEBR-OA	phoH
k117_68430_3	1394178.AWOO02000061_gene5947	k117_68430_3_EEBR-OA	nrdJ
k117_73837_2	mhad:B586_13110	k117_73837_2_EEBR-OA	purH
k117_77346_1	1038867.AXAY01000036_gene7142	k117_77346_1_EEBR-OA	ugpC
k117_77346_2	1038867.AXAY01000036_gene7142	k117_77346_2_EEBR-OA	ugpC
k117_77951_1	91782259	k117_77951_1_EEBR-OA	gnd
k117_78675_3	1502852.FG94_02687	k117_78675_3_EEBR-OA	phoP
k117_79659_2	1003195.SCAT_3785	k117_79659_2_EEBR-OA	deoB
k117_80237_1	jeu:BJP62_04815	k117_80237_1_EEBR-OA	pstB
k117_81753_14	vgo:GJW-30_1_00597	k117_81753_14_EEBR-OA	phoU
k117_81761_1	A0A6N7IGS8	k117_81761_1_EEBR-OA	pyrH
k117_84794_2	106370.Francci3_2444	k117_84794_2_EEBR-OA	phoP
k117_89173_4	570952.ATVH01000017_gene1809	k117_89173_4_EEBR-OA	purS
